Currency,Date,Open,High,Low,Close,Volume,Market Cap
bitcoin,12-Nov-19,"8,759.75","8,853.77","8,685.43","8,815.66","20,309,769,107","159,068,712,900"
bitcoin,11-Nov-19,"9,056.92","9,081.28","8,700.61","8,757.79","20,265,510,765","158,009,772,437"
bitcoin,10-Nov-19,"8,812.49","9,103.83","8,806.16","9,055.53","20,587,919,881","163,364,406,732"
bitcoin,9-Nov-19,"8,809.47","8,891.82","8,793.16","8,813.58","17,578,630,606","158,981,489,715"
bitcoin,8-Nov-19,"9,265.37","9,272.76","8,775.53","8,804.88","24,333,037,836","158,808,570,729"
bitcoin,7-Nov-19,"9,352.39","9,368.48","9,202.35","9,267.56","22,700,383,839","167,138,722,904"
bitcoin,6-Nov-19,"9,340.86","9,423.24","9,305.91","9,360.88","23,133,895,765","168,806,151,583"
bitcoin,5-Nov-19,"9,413.00","9,457.42","9,256.93","9,342.53","26,198,609,048","168,459,778,835"
bitcoin,4-Nov-19,"9,235.61","9,505.05","9,191.49","9,412.61","26,170,255,634","169,706,332,936"
bitcoin,3-Nov-19,"9,324.79","9,379.81","9,141.25","9,235.35","21,132,220,847","166,495,319,475"
bitcoin,2-Nov-19,"9,259.78","9,377.49","9,249.59","9,324.72","21,242,676,385","168,090,392,935"
bitcoin,1-Nov-19,"9,193.99","9,275.66","9,132.05","9,261.10","24,324,691,031","166,928,044,164"
bitcoin,31-Oct-19,"9,202.46","9,383.16","9,028.72","9,199.58","26,583,653,947","165,804,227,835"
bitcoin,30-Oct-19,"9,422.46","9,426.87","9,085.37","9,205.73","27,706,531,577","165,899,500,650"
bitcoin,29-Oct-19,"9,248.44","9,516.18","9,232.65","9,427.69","28,426,779,937","169,883,866,262"
bitcoin,28-Oct-19,"9,565.10","9,805.12","9,256.15","9,256.15","30,948,255,332","166,777,392,742"
bitcoin,27-Oct-19,"9,241.71","9,749.53","9,112.54","9,551.71","32,593,129,501","172,087,039,875"
